[01-14-2021 20:01:35] 	 URL:https://www.jdsports.co.uk/product/nike-air-force-1-low-infant/1267709/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:36] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-07-lv8-children/15968750/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:36] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-07-lv8/16070125/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:37] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-07-lv8/16068321/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:37] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-07-lv8/16068235/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:38] 	 URL:https://www.jdsports.co.uk/product/grey-puma-core-logo-crew-sweatshirt/16069551/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:38] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-low/16070044/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:38] 	 URL:https://www.jdsports.co.uk/product/grey-puma-core-fleece-joggers/16069547/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:39] 	 URL:https://www.jdsports.co.uk/product/grey-nike-swoosh-full-zip-tracksuit-children/16069534/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:40] 	 URL:https://www.jdsports.co.uk/product/black-gym-king-avalanche-jacket/16069504/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:41] 	 URL:https://www.jdsports.co.uk/product/red-fred-perry-logo-rib-pique-t-shirt/16069493/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:41] 	 URL:https://www.jdsports.co.uk/product/green-nike-academy-14-zip-drill-top-junior/16069374/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:41] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-crib-infant/16033390/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:42] 	 URL:https://www.jdsports.co.uk/product/brown-nike-air-force-1-07-essential-womens/16068529/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:42] 	 URL:https://www.jdsports.co.uk/product/brown-nike-air-force-1-07/16069669/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:43] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-lv8-ksa-infant/16033394/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:43] 	 URL:https://www.jdsports.co.uk/product/black-nike-air-force-1-07/16046113/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:44] 	 URL:https://www.jdsports.co.uk/product/grey-nike-air-force-1-shadow-womens/16069560/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:44] 	 URL:https://www.jdsports.co.uk/product/black-fila-tron-tape-overhead-hoodie/16069234/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:44] 	 URL:https://www.jdsports.co.uk/product/nike-air-force-1-low/1267679/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:44] 	 URL:https://www.jdsports.co.uk/product/blue-ellesse-noreo-overhead-hoodie/16069223/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:45] 	 URL:https://www.jdsports.co.uk/product/white-nike-air-force-1-low-junior/1267688/ argument of type 'NoneType' is not iterable 
[01-14-2021 20:01:45] 	 URL:https://www.jdsports.co.uk/product/nike-air-force-1-crib-infant/036127/ argument of type 'NoneType' is not iterable 
